                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1744,                 2.9756,                 1.2331,                0.00353,                0.94737,                0.69892,                0.49721,                0.90119,                 3.4592,                 1.0978,                  4e-05,                  4e-05,                  4e-05
                      2,                 1.0252,                 2.9475,                 1.1977,                0.00353,                0.94737,                0.64079,                 0.4631,                0.91478,                 3.4626,                 1.1095,              9.802e-05,              9.802e-05,              9.802e-05
                      3,                0.92834,                 2.7356,                 1.1366,                0.00353,                0.94737,                0.86791,                0.75483,                 0.5443,                 3.1898,                0.91432,             0.00015366,             0.00015366,             0.00015366
                      4,                 0.7027,                 1.6087,                0.98825,                0.00896,                0.84211,                0.84576,                0.75707,                0.57717,                 3.0177,                0.97441,             0.00020693,             0.00020693,             0.00020693
                      5,                0.65142,                  1.242,                0.96536,                 0.9877,                0.84211,                0.84551,                0.63712,                0.77383,                 2.8956,                 1.0644,             0.00025782,             0.00025782,             0.00025782
                      6,                0.67076,                 1.2148,                0.96294,                      1,                 0.7565,                0.84524,                0.69338,                0.78082,                 2.9786,                 1.0879,             0.00030634,             0.00030634,             0.00030634
                      7,                0.72888,                 1.2085,                0.97604,                0.98384,                0.84211,                0.84524,                0.73965,                0.65631,                 3.0091,                 1.0348,             0.00035248,             0.00035248,             0.00035248
                      8,                 0.6467,                 1.2176,                 0.9339,                0.97898,                0.84211,                0.84524,                0.73541,                0.63072,                 2.9822,                 1.0086,             0.00039624,             0.00039624,             0.00039624
                      9,                0.78992,                  1.112,                0.99694,                0.99486,                0.84211,                 0.8454,                 0.7346,                0.67183,                 2.4525,                0.98796,             0.00043763,             0.00043763,             0.00043763
                     10,                0.63467,                 1.1048,                0.91908,                0.99388,                0.84211,                0.84544,                0.72175,                0.63779,                 2.4415,                0.98002,             0.00047664,             0.00047664,             0.00047664
                     11,                0.75056,                 1.2251,                 1.0038,                0.98144,                0.84211,                 0.8456,                0.74239,                0.60836,                 2.8258,                0.96517,             0.00051328,             0.00051328,             0.00051328
                     12,                0.76526,                 1.1595,                0.98029,                0.99257,                0.84211,                0.84524,                0.73407,                0.56352,                 2.9943,                0.94789,             0.00054754,             0.00054754,             0.00054754
                     13,                 0.6807,                 1.2871,                0.97292,                0.97665,                0.84211,                0.84524,                0.76583,                0.56505,                 2.9301,                0.94718,             0.00057942,             0.00057942,             0.00057942
                     14,                0.74835,                 1.0973,                0.93605,                0.98487,                0.84211,                0.84524,                0.76908,                0.59112,                 2.8164,                0.94635,             0.00060893,             0.00060893,             0.00060893
                     15,                 0.7767,                  1.248,                 1.0079,                0.98288,                0.84211,                0.84545,                0.78448,                 0.5894,                 2.6344,                 0.9579,             0.00063606,             0.00063606,             0.00063606
                     16,                0.69069,                 1.1117,                0.99414,                0.98497,                0.84211,                0.84572,                0.74041,                0.62677,                 2.7726,                0.98189,             0.00066082,             0.00066082,             0.00066082
                     17,                0.73219,                 1.1331,                 1.0189,                      1,                0.53182,                0.84583,                 0.7217,                 0.7461,                  3.039,                 1.0197,              0.0006832,              0.0006832,              0.0006832
                     18,                 0.6942,                 1.0446,                0.94537,                      1,                0.75621,                0.85524,                0.72519,                0.77373,                 2.9348,                 1.0369,              0.0007032,              0.0007032,              0.0007032
                     19,                0.85684,                 1.1626,                 1.0296,                0.97843,                0.84211,                0.87302,                0.73422,                0.78689,                 2.7309,                 1.0781,             0.00072083,             0.00072083,             0.00072083
                     20,                0.64339,                 1.0391,                0.93871,                      1,                0.87933,                0.89564,                0.71852,                 0.7775,                 2.4862,                 1.0742,             0.00073608,             0.00073608,             0.00073608
                     21,                 0.6804,                0.90829,                0.95526,                      1,                0.88636,                0.89556,                0.76084,                0.70695,                 2.1539,                 1.0146,             0.00074896,             0.00074896,             0.00074896
                     22,                0.58118,                0.95465,                0.92225,                      1,                0.88817,                0.89564,                0.73756,                0.70992,                 1.8646,                 1.0447,             0.00075946,             0.00075946,             0.00075946
                     23,                0.63875,                0.89357,                0.97312,                0.99553,                0.84211,                0.84592,                0.74427,                0.71825,                 1.7325,                  1.041,             0.00076758,             0.00076758,             0.00076758
                     24,                0.72137,                0.83939,                 0.9787,                0.99602,                0.84211,                 0.8461,                0.78581,                0.62804,                 1.7399,                0.96968,             0.00077333,             0.00077333,             0.00077333
                     25,                0.61391,                  1.007,                0.95493,                0.99539,                0.84211,                0.84588,                0.74884,                0.60371,                 1.6958,                 0.9593,              0.0007767,              0.0007767,              0.0007767
                     26,                  0.705,                0.96648,                0.97777,                0.99571,                0.84211,                0.84546,                0.73907,                0.58404,                 1.6628,                0.95115,              0.0007777,              0.0007777,              0.0007777
                     27,                0.67426,                0.87295,                0.93239,                 0.9961,                0.84211,                0.84556,                 0.7429,                0.62166,                 1.6853,                0.95871,             0.00077632,             0.00077632,             0.00077632
                     28,                0.75015,                0.95276,                0.93874,                0.99581,                0.84211,                0.84545,                0.75324,                0.62899,                  1.658,                0.94604,             0.00077256,             0.00077256,             0.00077256
                     29,                0.61605,                0.85675,                0.94996,                0.99581,                0.84211,                0.84545,                0.75324,                0.62899,                  1.658,                0.94604,             0.00076643,             0.00076643,             0.00076643
                     30,                 0.7267,                0.93045,                0.93794,                0.99586,                0.84211,                0.84577,                0.76647,                0.61282,                  1.454,                0.95096,             0.00075792,             0.00075792,             0.00075792
                     31,                0.71038,                0.97184,                0.96273,                0.99631,                0.84211,                0.84956,                0.75193,                0.62669,                 1.3353,                0.95972,             0.00074704,             0.00074704,             0.00074704
                     32,                0.67588,                0.94852,                0.96749,                 0.9964,                0.84211,                0.84592,                0.74335,                0.59074,                 1.2127,                0.95153,             0.00073378,             0.00073378,             0.00073378
                     33,                0.61128,                0.88281,                0.97891,                 0.9964,                0.84211,                0.84592,                0.74335,                0.59074,                 1.2127,                0.95153,             0.00071814,             0.00071814,             0.00071814
                     34,                0.66894,                 0.9033,                0.97752,                0.99624,                0.84211,                0.84546,                0.77628,                0.54711,                  1.185,                0.94389,              0.0006932,              0.0006932,              0.0006932
                     35,                0.69586,                 0.8196,                0.96366,                0.99583,                0.84211,                0.84556,                0.75745,                0.57553,                 1.2326,                0.94728,              0.0006536,              0.0006536,              0.0006536
                     36,                0.61317,                0.80263,                 0.8998,                0.99561,                0.84211,                0.84546,                0.76249,                 0.5473,                 1.2131,                0.94896,               0.000614,               0.000614,               0.000614
                     37,                0.62748,                0.84804,                0.92964,                0.99561,                0.84211,                0.84546,                0.76249,                 0.5473,                 1.2131,                0.94896,              0.0005744,              0.0005744,              0.0005744
                     38,                0.56775,                0.78539,                0.95724,                 0.9954,                0.84211,                0.84558,                0.78115,                0.57047,                 1.2011,                0.95622,              0.0005348,              0.0005348,              0.0005348
                     39,                  0.608,                0.74838,                0.92187,                0.99593,                0.84211,                0.86708,                0.80434,                0.52095,                 1.1214,                0.92482,              0.0004952,              0.0004952,              0.0004952
                     40,                0.64075,                0.79867,                0.95354,                0.99643,                0.84211,                0.87043,                0.79091,                0.53807,                 1.0005,                0.92853,              0.0004556,              0.0004556,              0.0004556
                     41,                 0.4535,                0.94814,                0.87033,                0.99643,                0.84211,                0.87043,                0.79091,                0.53807,                 1.0005,                0.92853,               0.000416,               0.000416,               0.000416
                     42,                0.50097,                0.93893,                0.88955,                0.99659,                0.84211,                0.87814,                0.78208,                0.54401,                0.94648,                0.91544,              0.0003764,              0.0003764,              0.0003764
                     43,                0.47846,                0.89397,                0.91481,                0.99655,                0.84211,                0.84948,                0.76966,                0.51528,                0.92072,                0.90915,              0.0003368,              0.0003368,              0.0003368
                     44,                0.44137,                0.88252,                0.86861,                0.99656,                0.84211,                0.85177,                0.75632,                0.52024,                0.89946,                 0.9194,              0.0002972,              0.0002972,              0.0002972
                     45,                0.44796,                0.88104,                0.86946,                0.99656,                0.84211,                0.85177,                0.75632,                0.52024,                0.89946,                 0.9194,              0.0002576,              0.0002576,              0.0002576
                     46,                0.47525,                0.89538,                0.85082,                0.99666,                0.84211,                0.85248,                 0.7697,                0.51658,                0.88803,                0.92236,               0.000218,               0.000218,               0.000218
                     47,                0.46186,                0.88825,                0.87441,                0.99662,                0.84211,                0.85666,                0.77599,                0.51932,                0.88583,                0.92943,              0.0001784,              0.0001784,              0.0001784
                     48,                0.43136,                0.86471,                0.83852,                 0.9966,                0.84211,                0.86261,                0.78799,                0.49452,                0.88162,                0.92113,              0.0001388,              0.0001388,              0.0001388
                     49,                0.40687,                0.89233,                0.89379,                 0.9966,                0.84211,                0.86261,                0.78799,                0.49452,                0.88162,                0.92113,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                0.40749,                0.86238,                0.84223,                0.99657,                0.84211,                0.86537,                0.78995,                0.49116,                0.88642,                0.92149,               5.96e-05,               5.96e-05,               5.96e-05
